Gene_ID	Control1_Day_1	Control2_Day_1	GFP1_Day_1	GFP2_Day_1	PR1_Day_1	PR2_Day_1	TDP1_Day_1	TDP2_Day_1	Control1_Day_2	Control2_Day_2	GFP1_Day_2	PR1_Day_2	PR2_Day_2	TDP1_Day_2	TDP2_Day_2	Control1_Day_3	Control2_Day_3	GFP1_Day_3	GFP2_Day_3	PR1_Day_3	PR2_Day_3	TDP1_Day_3	TDP2_Day_3	cluster
Tctn2	80.450241957448	84.2752407599783	98.6107874312141	76.2714822730239	111.889071305669	102.326137195798	82.5952851773965	108.069506138488	99.9374562353199	97.4371517198517	85.9170644243186	97.6352609591003	91.5531740886173	122.067915561158	113.826431586159	100.07462915156	119.590126179039	117.518960734597	114.29542949673	136.904660751883	112.68739333398	140.347756359369	168.446811236753	3
Slk	261.731453834898	279.72207571397	239.131159520694	234.262409838573	257.423108108847	252.71455095326	193.012140098758	246.853503495283	273.424388688769	272.51953371646	231.97607394566	206.724938008374	272.828458784079	234.848054938315	282.13389025629	317.128385622172	312.989783359204	269.05656799763	273.121545810368	242.367102766491	273.669383811095	177.915590132332	217.449519960172	6
Hook2	94.3949505634057	109.378503965078	100.254300555068	118.765593825137	110.324189189506	97.6749491414439	94.7672219403812	89.8683261572689	98.8145634686309	104.288201450154	133.171449857694	134.180302770607	120.850189796975	124.721565899444	136.202567709933	102.103168931659	116.787232596718	106.694845930095	109.842360815039	144.110169212508	169.03109000097	151.68898919649	174.57214982718	3
2610203C20Rik	247.78674522894	283.308256171842	277.753717931253	260.412632332182	255.075784934602	286.823263351859	272.999153112658	246.853503495283	273.985835072113	260.339889751479	251.736998763253	283.633160328113	254.517823966356	124.721565899444	152.741450931854	235.986794418205	220.494295142603	245.862036273697	225.622146539	245.642333884957	261.595734525311	102.071095534087	131.694779694189	5
Myh10	2442.46934582812	2435.01653089469	2441.43874548448	2422.16435847046	2355.14758482562	2348.84996744901	2406.56578285298	2325.20074260073	2429.37850073163	2483.1249133606	2336.94415234147	2223.24761826421	2106.63853577908	2130.8812216437	2080.00778402741	2046.12045819337	2073.20695305693	2134.92778667852	2213.17513480032	1631.72014321981	1696.3477246526	1235.48555219384	1223.53638343787	5
Pura	49.3428150672348	44.8272557233927	55.0576896490946	62.1067784223195	77.4616647500785	49.612672579781	67.815076250915	58.0162611901356	53.3374064177269	58.6145365814733	55.8460918758071	63.272012688579	55.8474361940565	50.4193564274349	62.2640309531124	57.4752937694768	72.8752331403519	58.2440463289889	47.4993992713684	58.2991139086965	58.3559715479541	93.5651709062462	104.130756037265	1
Gdpd3	1.07266989276597	3.58618045787142	4.93053937156071	2.17918520780068	1.5648821161632	3.10079203623631	1.73884810899782	2.27514749765238	2.24578553337798	2.28368324343402	2.57751193272956	1.63634515573911	0.915531740886173	30.5169788902896	28.213389025629	5.40943941359781	0	0	1.48435622723026	3.2752311184661	4.02454976192787	25.5177738835217	33.6893622473506	1
Zdbf2	707.962129225543	871.441851262754	779.025220706592	704.966414723521	715.151127086583	733.337316569888	642.504376274695	724.634478002282	736.617654947976	731.539865646699	648.673836403605	805.081816623643	868.839622100978	543.99831934864	590.535418570925	831.701309840664	759.584160809052	664.909909419431	694.678714343763	917.7197593942	869.302748576419	369.298894258744	353.738303597181	6
Dnajc18	426.922617320858	442.89328654712	406.769498153758	371.551077930017	406.086909144351	444.963657199911	393.849096688006	412.939270823906	430.067929641882	438.467182739333	430.444492765836	440.722295279067	426.637791252956	323.745341270898	369.692683784105	488.201907077203	445.660079589075	466.983238708531	466.087855350302	436.260784979684	438.675924050137	338.110503956662	369.051650073249	6
Surf6	122.284367775321	130.895586712307	124.906997412871	114.407223409536	132.232538815791	136.434849594398	121.719367629847	136.508849859143	106.674812835454	108.855567937022	121.143060838289	123.816783450926	110.779340647227	136.662992421732	154.687201899139	121.712386805951	96.2326796596954	115.457224581359	96.483154769967	132.974383409724	96.5891942862688	164.447876138251	189.885496303249	1
Fkbp8	957.894214240014	989.785806372511	979.533821816727	889.107564782679	999.959672228286	1024.8117679761	996.359966455751	1007.89034146	935.931121035272	931.742763321082	907.284200320804	908.717009820453	967.717050116684	1041.55775777727	953.417973969533	874.976825149446	952.049520128443	919.018890306082	991.549959789815	824.703195629763	909.548246195698	941.322325481022	1007.6181981253	4
9030617O03Rik	17.1627182842556	14.3447218314857	13.1481049908286	23.9710372858075	16.4312622197136	13.9535641630634	19.9967532534749	12.5133112370881	19.6506234170573	10.6571884693588	19.7609248175933	15.2725547868984	24.7193570039267	21.2292027062884	25.2947625747019	16.904498167493202	21.4888507977961	13.4012849960506	23.7496996356842	38.6477271978999	46.2823222621705	29.0619091451219	36.7520315425643	2
Rps6ka4	38.6161161395751	28.6894436629713	31.2267493532178	39.2253337404123	28.9503191490192	37.2095044348358	34.7769621799564	30.7144912183071	30.8795510839472	43.3899816252465	40.3810202794297	47.9994579016806	45.7765870443086	57.0534822731501	40.86077031298	54.7705740626779	61.663658811067	57.7286122906793	56.40553663475	57.6440676850033	78.4787203575934	58.1238182902438	67.3787244947011	3
Zfp882	37.5434462468091	53.7927068680712	37.8008018486321	43.5837041560137	34.4274065555904	40.3102964710721	70.4233484144117	52.3283924460047	40.4241396008036	29.6878821646423	33.5076551254842	44.7267675902024	27.4659522265852	19.9023775371454	24.3218870910595	47.3325948689809	48.5834887602346	37.6266847966035	31.1714807718355	36.0275423031271	30.184123214459	14.1765410464009	9.18800788564107	5
Trim44	2107.79633928514	1999.29560526331	2160.39800130552	2051.70287314434	2113.3732978784	2173.65521740166	2064.01270538041	2044.22002664066	2082.40463582473	2263.89132199093	2142.77158674251	2125.06690891986	2116.70938492883	1831.01873341737	1931.15783503013	2159.04250595223	2152.6222712227	2189.56379473934	2195.36286007356	2105.31856295001	2261.79696620346	1550.20476342394	1503.77062394992	6
Hcn2	293.911550617877	283.308256171842	288.436553236301	311.623484715498	309.064217942232	300.776827514922	305.167843129118	310.55763342955	352.588328740342	363.866863453821	365.147523803354	302.178405426489	363.46610113181	343.647718808043	365.801181849535	342.147042910062	364.376165701759	365.958167199842	350.308069626342	382.54699463684	432.639099407246	351.578217950743	349.144299654361	3
Ndufb3	176.990532306386	152.412669459535	159.420773013796	154.722149753849	175.266797010279	165.892373938643	202.575804698246	153.572456091535	171.802593303415	153.00677731008	136.608132434667	171.816241352607	153.809332468877	185.755523680023	179.009088990198	139.969244826843	156.027742749215	158.238249761058	191.481953312704	174.89734172609	162.994265358079	216.192250957614	208.261512074531	1
Nacc1	801.284409896182	830.200775997233	830.795884107979	843.344675418865	882.593513516046	801.554741367087	845.080180972941	789.476181685375	739.424886864699	793.960540967229	762.943532087949	777.263948976078	746.158368822231	623.607829497222	794.839270135825	735.683760249303	761.4527565306	789.129512652054	759.990388341894	714.655430049302	641.915687027495	623.058978989321	558.937146376498	5
Ankfy1	631.802566839159	631.167760585369	702.601860447401	598.186339541288	617.345994826383	632.561575392208	636.418407893202	646.141889333275	689.456158747039	659.984457352433	643.518812538146	615.811226943152	701.297313518808	646.163857372653	728.683737248143	624.114072343848	646.53411965543	661.301871151264	616.007834300559	563.339752376169	607.707014051108	781.836238709012	765.667323803422	1
Osbp2	163.045823700428	116.550864880821	119.976458041311	128.57192726024	129.885215641546	134.88445357628	142.585544937821	143.3342923521	161.13511201987	149.961866318834	149.495692098314	165.816309114897	170.288903804828	132.682516914302	122.58231093894	194.063638962822	206.479827230997	215.451428013428	164.763541222559	184.723035081488	185.129289048682	113.412328371208	91.8800788564106	6
Grm7	129.793057024683	114.757774651885	139.698615527553	140.55744590314401	129.102774583464	108.527721268271	159.104601973301	151.297308593883	170.679700536726	160.619054788193	173.552470137124	176.725276819824	155.640395950649	124.721565899444	140.094069644503	190.006559402623	202.742635787902	197.9266707109	213.747296721158	164.416602146998	160.981990477115	125.462388260648	120.975437160941	6
Kif2a	809.86576903831	754.890986381933	798.747378192835	825.911193756459	758.185385281071	843.415433856277	739.879870378573	775.825296699461	810.728577549449	816.036145653758	895.255811301399	813.263542402338	841.373669874392	802.72922733153	757.870001757415	865.51030617565	894.123052760471	839.642048406398	847.567405748479	778.849959971238	808.934502147501	726.547728628048	761.073319860602	6
Rnf7	219.897328017025	216.963917701221	196.399818300501	208.112187344965	236.297199540644	227.908214663369	199.967532534749	200.212979793409	193.137555870506	229.890779839025	222.525196858985	219.270250869041	202.332514735844	152.584894451448	151.768575448211	207.587237496816	209.282720813318	208.235351477093	216.716009175618	227.95608584524	245.4975354776	150.98016214417	150.070795465471	5
Gria4	347.545045256175	412.410752655213	357.464104438151	338.863299813006	359.922886717536	339.536727967876	315.600931783104	329.896387159595	401.995610474658	373.762824175369	386.626789909434	417.268014713473	454.103743479542	359.56962083776	361.909679914966	428.021893600927	410.156760879673	423.171345452212	382.963906625408	518.79660916503	482.945971431344	406.866728031707	372.114319368463	2
Fbln1	109.412329062129	105.792323507207	116.689431793603	138.378260695343	100.152455434445	120.930889413216	118.241671411852	123.995538622055	108.920598368832	121.035211902003	97.08628279948	115.089609286984	119.934658056089	92.8777618400117	96.3146728805957	89.9319302510636	131.735998369098	84.5311822827804	83.1239487248947	111.357858027847	130.797867262656	51.0355477670434	65.8473898470943	5
Blcap	586.750431342988	496.685993415191	593.308237711138	585.111228294484	568.834649225324	551.940982450064	608.596838149237	604.051660626706	592.887380811786	556.457483650091	636.645447384201	553.084662639819	593.26456809424	739.041619212665	654.745200491322	576.105297548167	617.570885971444	607.696731167062	546.243091620736	595.437017337136	519.166919288695	842.795365208536	960.146824049491	1
Ppp2ca	2106.72366939237	2079.98466556542	2046.17383919769	1946.01239056601	2048.43069005763	2103.88739658634	2046.62422429044	2154.5646802768	1952.14907488881	1896.97954754586	1965.78243402841	1895.43313873114	1991.28153642743	2007.4864809134	2108.22117305304	2033.94921951278	2057.32388942378	1965.34998807464	1941.53794521718	1790.24132935357	1720.49502322416	2360.39408422576	2338.34800689565	1
Rnd3	154.4644645583	148.826489001664	151.203207394528	119.855186429038	161.18285796481	116.279701358862	157.365753864303	146.747013598578	125.763989869167	127.886261632305	128.016425992235	136.907544696839	153.809332468877	106.146013531442	127.446688357152	131.178905779747	120.524424039813	122.157867079384	112.8110732695	182.102850186715	187.141563929646	139.638929307049	137.820118284616	2
Ufd1l	276.748832333621	252.825722279935	318.841546027592	269.129373163384	276.20169350280503	288.373659369977	287.779362039139	279.843142211242	281.284638055591	226.84586884778	240.567780388092	297.814818344518	305.787601455982	264.038208659462	304.510026380065	274.529050240089	281.223656092896	254.62441492496	207.809871812237	348.484591004793	348.12355440676	358.666488473944	396.615673730173	2
Grik3	283.184851690217	315.583880292685	347.60302569503	355.207188871511	340.361860265496	330.234351859167	309.514963401612	326.483665913116	355.395560657065	338.746347776047	374.598400890029	366.541314885561	387.269926394851	311.803914748611	322.021785085628	286.024108993984	274.68357106748	355.13405239534	351.792425853572	515.521378046564	623.805213098819	153.81547035345	139.351452932223	6
Mmd2	282.112181797451	277.928985485035	281.862500740887	274.577336182886	296.545161012927	291.474451406213	296.473602584128	295.769174694809	323.393116806429	308.297237863593	334.217380610599	346.905173016692	377.199077245103	335.686767793185	322.021785085628	394.212897265941	423.236930930505	309.775857024092	335.464507354039	376.651578623601	420.565450121462	267.936625776978	313.923602759403	6
Prdx3	143.73776563064	148.826489001664	152.024963956455	147.095001526546	145.534036803178	134.88445357628	154.757481700806	149.022161096231	145.976059669568	143.872044336344	164.960763694692	152.725547868984	178.528689472804	148.604418944019	137.175443193576	165.664082041433	169.107912800047	186.071687829779	154.373047631947	207.649652910751	181.104739286754	228.242310847055	222.043523902992	3
Anp32e	727.27018729533	762.063347297676	633.574309245551	677.726599626013	652.555842440055	682.174247971989	672.934218182157	659.792774319189	643.979001696135	621.923069961866	539.559164584721	539.44845300866	513.613306637143	513.481340458351	573.023659865362	651.161269411837	631.58535388305	579.347859060032	537.336954257355	441.50115476923	452.761848216885	663.462120971564	676.849914242225	4
Psma2	332.527666757452	362.204226245013	325.415598523007	342.132077624707	324.713039103864	375.195836384594	345.161349636067	375.399337112642	291.952119339137	321.999337324197	350.54162285122	315.814615057648	314.027387123957	337.013592962328	342.452170242118	319.833105328971	282.15795395367	314.414763368878	304.293026582204	328.178158070303	289.767582858806	404.740246874747	451.743721044019	1
Ephb6	377.579802253623	363.997316473949	432.243951573489	393.342930008023	413.128878667085	400.002172674484	404.282185341993	402.701107084471	423.330573041748	424.003855530917	481.994731420427	424.358843721676	420.229069066753	367.530571852618	394.987446358807	421.936274260629	422.302633069731	463.375200440363	479.447061395375	358.310284360191	430.626824526282	288.492610294259	294.016252340514	6
Slx4ip	54.7061645310647	60.9650677838141	56.7012027729481	54.4796301950171	45.3815813687329	62.0158407247263	70.4233484144117	55.7411136924832	49.4072817343155	54.8083978424166	59.2827744527798	69.8173933115354	47.607650526081	38.4779299051477	63.2369064367548	67.6179926699727	40.1748080132709	49.4816676777251	40.0776181352171	77.2954543957999	86.5278198814491	89.3122085923259	70.4413937899148	2
Nav3	473.047422709794	577.375053717298	571.942567101042	569.856931839879	507.021805636877	522.483458105819	537.304065680327	522.146350711221	541.234313544092	547.322750676354	597.123597749014	591.266049607065	631.716901211459	542.671494179497	654.745200491322	578.133837328266	570.855992932757	581.92502925158	580.383284847032	554.824151468157	553.375592265082	508.937823565794	437.961709215557	6
Btbd9	591.041110914052	546.892519825391	570.299053977188	541.52752413847	564.922443934916	493.025933761574	570.342179751285	550.585694431875	626.574163812455	589.95150455379	527.530775565316	452.722159754487	556.643298458793	481.637536398918	450.441348926422	607.209574176355	663.351481149357	492.239506585703	472.025280259223	396.958011558091	430.626824526282	289.910264398899	261.85822474077	5
Mrpl10	175.91786241362001	157.791940146342	181.608200185819	166.707668396752	183.873648649176	179.845938101706	175.62365900878	180.874226063364	158.889326486492	170.51501550974	182.144176579555	167.452654270636	170.288903804828	179.121397834308	213.059730917681	190.006559402623	198.071146484033	199.472972825829	173.669678585941	245.642333884957	247.509810358564	309.75742186386	306.266929521369	3
Zfp408	123.357037668087	129.102496483371	125.728753974798	141.647038507044	107.976866015261	145.737225703107	133.021880338333	109.207079887314	119.588079652377	125.602578388871	137.46730307891	148.907409172259	129.08997546495	126.048391068587	124.528061906225	107.512608345257	109.312849710528	107.725714006714	112.8110732695	157.866139910066	187.141563929646	187.130341812492	200.604838836497	1
